Fecha,Último
19032021,58521
20032021,58698
21032021,57412
22032021,54587
23032021,54656
24032021,52741
25032021,51456
26032021, 55036
27032021, 55862
28032021, 55765
29032021, 57616
30032021, 58771
31032021, 58763
01042021, 58718
02042021, 58977
03042021, 57059
04042021, 58199
05042021, 58993
06042021, 57996
07042021, 55948
08042021, 58077
09042021, 58118
10042021, 59748
11042021, 59978
12042021, 59863
13042021, 63540
14042021, 62980
15042021, 63216
16042021, 61379
17042021, 60041
18042021, 56207
19042021, 55646
20042021, 56483
21042021, 53820
22042021, 51729
23042021, 51143
24042021, 50088
25042021, 48963
26042021, 54020
27042021, 55036 
28042021, 54841
29042021, 53560
30042021, 57720
01052021, 57807
02052021, 56603
03052021, 57169
04052021, 53741
05052021, 57441
06052021, 56405
07052021, 57337
08052021, 58840
09052021, 58238
10052021, 55848
11052021, 56695
12052021, 49384
13052021, 49704
14052021, 49839
15052021, 46708
16052021, 46426
17052021, 43541
18052021, 42897
19052021, 36720
20052021, 40717
21052021, 37297
22052021, 37448
23052021, 34679
24052021, 38750
25052021, 38378
26052021, 39249
27052021, 38417
28052021, 35662
29052021, 34584
30052021, 35652
31052021, 37298
01062021, 36687
02062021, 37555
03062021, 39187
04062021, 36851
05062021, 35520
06062021, 35815
07062021, 33578
08062021, 33382
09062021, 37332
10062021, 36649
11062021, 37314
12062021, 35467
13062021, 39022
14062021, 40529
15062021, 40156
16062021, 38336
17062021, 38052
18062021, 35749
19062021, 35513
20062021, 35595
21062021, 31692
22062021, 32496
23062021, 33674
24062021, 34665
25062021, 31594
26062021, 32243
27062021, 34678
28062021, 34475
29062021, 35834
30062021, 35026
01072021, 33543
02072021, 33813
03072021, 34742
04072021, 35298
05072021, 33687
06072021, 34225
07072021, 33867
08072021, 32866
09072021, 33797
10072021, 33510
11072021, 34227
12072021, 33113
13072021, 32728
14072021, 32820
15072021, 31840
16072021, 31394
17072021, 31518
18072021, 31785
19072021, 30837
20072021, 29793 
21072021, 32131
22072021, 32298
23072021, 33603
24072021, 33824
25072021, 35391
26072021, 37276
27072021, 39452 
28072021, 40003
29072021, 40001
30072021, 42203
31072021, 41553
01082021, 39878
02082021, 39168
03082021, 38130
04082021, 39736
05082021, 40867
06082021, 42795
07082021, 44614
08082021, 43792
09082021, 46284
10082021, 45593
11082021, 45564
12082021, 44403
13082021, 47809
14082021, 47081
15082021, 46991
16082021, 45996
17082021, 44691
18082021, 44723
19082021, 46755
20082021, 49324
21082021, 48875
22082021, 49254
23082021, 49539
24082021, 47714
25082021, 48994
26082021, 46831
27082021, 49064
28082021, 48897
29082021, 48777
30082021, 46992
31082021, 47130
01092021, 48819
02092021, 49274
03092021, 49999
04092021, 49918
05092021, 51768
06092021, 52672
07092021, 46779
08092021, 46061
09092021, 46385 
10092021, 44842
11092021, 45161
12092021, 46062
13092021, 4494
14092021, 47077
15092021, 48130
16092021, 47748
17092021, 47282
18092021, 48306
19092021, 47238
20092021, 42870
21092021, 40651
22092021, 43551
23092021, 44869
24092021, 42819
25092021, 42686
26092021, 43203
27092021, 42172
28092021, 41022
29092021, 41536
30092021, 43823
01102021, 48146
02102021, 47666
03102021, 48200
04102021, 49227
05102021, 51469
06102021, 55323
07102021, 53783
08102021, 53914
09102021, 54942
10102021, 54687
11102021, 57477
12102021, 56015
13102021, 57380
14102021, 57345
15102021, 61672
16102021, 60861
17102021, 61527
18102021, 62056
19102021, 64278
20102021, 65979
21102021, 62210
22102021, 60690
23102021, 61312
24102021, 60866
25102021, 63067
26102021, 60310
27102021, 58438
28102021, 60582
29102021, 62242
30102021, 61840
31102021, 61309
01112021, 60915
02112021, 63221
03112021, 62918
04112021, 61412
05112021, 60974
06112021, 61483
07112021, 63273
08112021, 67527
09112021, 66904
10112021, 64932
11112021, 64806
12112021, 64134
13112021, 64398 
14112021, 65508
15112021, 63597
16112021, 60089
17112021, 60367
18112021, 56955
19112021, 58083
20112021, 59717
21112021, 58714
22112021, 56308
23112021, 57573
24112021, 57171
25112021, 58935
26112021, 53730
27112021, 54765
28112021, 57291
29112021, 57794
30112021, 56882
01122021, 57210 
02122021, 56496
03122021, 53631
04122021, 49195
05122021, 49405
06122021, 50562
07122021, 50595
08122021, 50473
09122021, 47596
10122021, 47137
11122021, 49314
12122021, 50081
