Fecha,Último,Apertura,Máximo,Mínimo.
19.03.2022,42085,41768,42093,41529
18.03.2022,41767,40914,42308,40234
17.03.2022,40914,41118,41406,40557
16.03.2022,41118,39282,41701,38953
15.03.2022,39285,39673,39854,38221
14.03.2022,39671,37789,39914,37613
13.03.2022,37792,38813,39272,37603
12.03.2022,38814,38731,39355,38666
11.03.2022,38731,39422,40177,38236
10.03.2022,39416,41933,42029,38603
09.03.2022,41929,38731,42538,38663
08.03.2022,38744,38021,39351,37886
07.03.2022,38024,38421,39532,37182
06.03.2022,38403,39396,39668,38115
05.03.2022,39395,39142,39601,38626
04.03.2022,39142,42463,42848,38594
03.03.2022,42463,43912,44077,41841
02.03.2022,43912,44421,45294,43361
01.03.2022,44421,43187,44901,42876
28.02.2022,43188,37707,43977,37458
27.02.2022,37689,39116,39838,37062
26.02.2022,39115,39221,40094,38639
25.02.2022,39209,38339,39683,38042
24.02.2022,38339,37251,39351,34357
23.02.2022,37224,38248,39194,37099
22.02.2022,38248,37018,38414,36399
21.02.2022,37017,38355,39444,36868
20.02.2022,38355,40089,40121,38042
19.02.2022,40091,40001,40434,39666
