Fecha;Último
19.03.2021;64
20.03.2021;63
21.03.2021;64
22.03.2021;64
23.03.2021;60
24.03.2021;64
25.03.2021;61
26.03.2021;64
27.03.2021;63
28.03.2021;64
29.03.2021;64
30.03.2021;64
31.03.2021;63
01.04.2021;64
02.04.2021;64
03.04.2021;63
04.04.2021;63
05.04.2021;62
06.04.2021;62
07.04.2021;63
08.04.2021;63
09.04.2021;62
10.04.2021;63
11.04.2021;63
12.04.2021;63
13.04.2021;63
14.04.2021;66
15.04.2021;66
16.04.2021;66
17.04.2021;66
18.04.2021;66
19.04.2021;67
20.04.2021;66
21.04.2021;65
22.04.2021;65
23.04.2021;66
24.04.2021;65
25.04.2021;65
26.04.2021;65
27.04.2021;66
28.04.2021;67
29.04.2021;68
30.04.2021;67
01.05.2021;66
02.05.2021;67
03.05.2021;67
04.05.2021;68
05.05.2021;68
06.05.2021;68
07.05.2021;68
08.05.2021;67
09.05.2021;68
10.05.2021;68
11.05.2021;68
12.05.2021;69
13.05.2021;67
14.05.2021;68
15.05.2021;68
16.05.2021;68
17.05.2021;69
18.05.2021;68
19.05.2021;66
20.05.2021;65
21.05.2021;66
22.05.2021;64
23.05.2021;66
24.05.2021;68
25.05.2021;68
26.05.2021;68
27.05.2021;69
28.05.2021;69
29.05.2021;69
30.05.2021;69
31.05.2021;69
01.06.2021;70
02.06.2021;71
03.06.2021;71
04.06.2021;71
05.06.2021;71
06.06.2021;71
07.06.2021;71
08.06.2021;72
09.06.2021;72
10.06.2021;72
11.06.2021;72
12.06.2021;72
13.06.2021;72
14.06.2021;72
15.06.2021;73
16.06.2021;74
17.06.2021;73
18.06.2021;73
19.06.2021;73
20.06.2021;73
21.06.2021;74
22.06.2021;74
23.06.2021;75
24.06.2021;75
25.06.2021;76
26.06.2021;76
27.06.2021;76
28.06.2021;74
29.06.2021;74
30.06.2021;75
01.07.2021;75
02.07.2021;76
03.07.2021;76
04.07.2021;77
05.07.2021;77
06.07.2021;74
07.07.2021;73
08.07.2021;74
09.07.2021;75
10.07.2021;75
11.07.2021;75
12.07.2021;75
13.07.2021;76
14.07.2021;74
15.07.2021;73
16.07.2021;73
17.07.2021;73
18.07.2021;73
19.07.2021;68
20.07.2021;69
21.07.2021;72
22.07.2021;73
23.07.2021;74
24.07.2021;72
25.07.2021;74
26.07.2021;74
27.07.2021;74
28.07.2021;74
29.07.2021;76
30.07.2021;76
31.07.2021;76
01.08.2021;76
02.08.2021;72
03.08.2021;72
04.08.2021;70
05.08.2021;71
06.08.2021;70
07.08.2021;70
08.08.2021;70
09.08.2021;69
10.08.2021;70
11.08.2021;71
12.08.2021;71
13.08.2021;70
14.08.2021;70
15.08.2021;70
16.08.2021;69
17.08.2021;69
18.08.2021;68
19.08.2021;66
20.08.2021;65
21.08.2021;67
22.08.2021;68
23.08.2021;68
24.08.2021;71
25.08.2021;72
26.08.2021;71
27.08.2021;72
28.08.2021;72
29.08.2021;72
30.08.2021;73
31.08.2021;72
01.09.2021;71
02.09.2021;73
03.09.2021;72
04.09.2021;72
05.09.2027;72
06.09.2021;72
07.09.2021;71
08.09.2021;72
09.09.2021;71
10.09.2021;72
11.09.2021;72
12.09.2021;72
13.09.2021;73
14.09.2021;73
15.09.2021;75
