Fecha;Último
19.03.2021;26
20.03.2021;26
21.03.2021;25
22.03.2021;25
23.03.2021;25
24.03.2021;25
25.03.2021;25
26.03.2021;25
27.03.2021;25
28.03.2021;25
29.03.2021;24
30.03.2021;24
31.03.2021;24
01.04.2021;25
02.04.2021;25
03.04.2021;25
04.04.2021;25
05.04.2021;24
06.04.2021;25
07.04.2021;25
08.04.2021;25
09.04.2021;25
10.04.2021;25
11.04.2021;25
12.04.2021;24
13.04.2021;25
14.04.2021;25
15.04.2021;26
16.04.2021;26
17.04.2021;26
18.04.2021;25
19.04.2021;25
20.04.2021;25
21.04.2021;26
22.04.2021;26
23.04.2021;26
24.04.2021;25
25.04.2021;25
26.04.2021;26
27.04.2021;26
28.04.2021;26
29.04.2021;26
30.04.2021;25
01.05.2021;25
02.05.2021;25
03.05.2021;26
04.05.2021;26
05.05.2021;26
06.05.2021;27
07.05.2021;27
08.05.2021;27
09.05.2021;27
10.05.2021;27
11.05.2021;27
12.05.2021;27
13.05.2021;27
14.05.2021;27
15.05.2021;27
16.05.2021;27
17.05.2021;28
18.05.2021;28
19.05.2021;28
20.05.2021;28
21.05.2021;27
22.05.2021;27
23.05.2021;27
24.05.2021;27
25.05.2021;28
26.05.2021;27
27.05.2021;27
28.05.2021;28
29.05.2021;28
30.05.2021;28
31.05.2021;28
01.06.2021;28
02.06.2021;28
03.06.2021;27
04.06.2021;27
05.06.2021;27
06.06.2021;27
07.06.2021;28
08.06.2021;27
09.06.2021;28
10.06.2021;28
11.06.2021;28
12.06.2021;28
13.06.2021;27
14.06.2021;28
15.06.2021;27
16.06.2021;27
17.06.2021;25
18.06.2021;26
20.06.2021;25
21.06.2021;26
22.06.2021;25
23.06.2021;26
24.06.2021;26
25.06.2021;26
26.06.2021;26
27.06.2021;26
28.06.2021;26
29.06.2021;25
30.06.2021;26
01.07.2021;26
02.07.2021;26
03.07.2021;26
04.07.2021;26
05.07.2021;26
06.07.2021;26
07.07.2021;26
08.07.2021;25
09.07.2021;26
10.07.2021;26
11.07.2021;26
12.07.2021;26
13.07.2021;26
14.07.2021;26
15.07.2021;26
16.07.2021;25
17.07.2021;25
18.07.2021;25
19.07.2021;25
20.07.2021;24
21.07.2021;25
22.07.2021;25
23.07.2021;25
24.07.2021;25
25.07.2021;25
26.07.2021;25
27.07.2021;24
28.07.2021;24
29.07.2021;25
30.07.2021;25
31.07.2021;25
01.08.2021;25
02.08.2021;25
03.08.2021;25
04.08.2021;25
05.08.2021;25
06.08.2021;24
08.08.2021;23
09.08.2021;23
10.08.2021;23
11.08.2021;23
12.08.2021;23
13.08.2021;23
14.08.2021;23
15.08.2021;23
16.08.2021;23
17.08.2021;23
18.08.2021;23
19.08.2021;23
20.08.2021;23
21.08.2021;23
22.08.2021;22
23.08.2021;23
24.08.2021;23
25.08.2021;23
26.08.2021;23
27.08.2021;24
28.08.2021;24
29.08.2021;24
30.08.2021;24
31.08.2021;24
01.09.2021;24
02.09.2021;23
03.09.2021;24
04.09.2021;24
05.09.2021;24
06.09.2021;24
07.09.2021;24
08.09.2021;24
09.09.2021;24
10.09.2021;23
11.09.2021;23
12.09.2021;23
13.09.2021;23
14.09.2021;23
15.09.2021;23
16.09.2021;22
17.09.2021;22
18.09.2021;22
19.09.2021;22
20.09.2021;22
21.09.2021;22
22.09.2021;22
23.09.2021;22
24.09.2021;22
25.09.2021;22
26.09.2021;22
27.09.2021;22
28.09.2021;22
29.09.2021;21
30.09.2021;22
01.10.2021;22
02.10.2021;22
03.10.2021;22
04.10.2021;22
05.10.2021;22
06.10.2021;22
07.10.2021;22
08.10.2021;22
10.10.2021;22
11.10.2021;22
12.10.2021;22
13.10.2021;23
14.10.2021;23
15.10.2021;23
16.10.2021;23
17.10.2021;23
18.10.2021;23
19.10.2021;23
20.10.2021;24
21.10.2021;24
22.10.2021;24
23.10.2021;24
24.10.2021;24
25.10.2021;24
26.10.2021;24
27.10.2021;24
28.10.2021;24
29.10.2021;23
30.10.2021;23
31.10.2021;23
01.11.2021;24
02.11.2021;23
03.11.2021;23
04.11.2021;23
05.11.2021;24
06.11.2021;24
07.11.2021;24
08.11.2021;24
09.11.2021;24
10.11.2021;24
11.11.2021;25
12.11.2021;25
13.11.2021;25
14.11.2021;25
15.11.2021;25
16.11.2021;24
17.11.2021;25
18.11.2021;24
19.11.2021;24
21.11.2021;24
22.11.2021;24
23.11.2021;23
24.11.2021;23
25.11.2021;23
26.11.2021;23
27.11.2021;23
28.11.2021;23
29.11.2021;22
30.11.2021;22
01.12.2021;22
02.12.2021;22
03.12.2021;22
04.12.2021;22
05.12.2021;22
06.12.2021;22
07.12.2021;22
08.12.2021;22
09.12.2021;21
10.12.2021;22
12.12.2021;22
13.12.2021;22
14.12.2021;21
15.12.2021;21
16.12.2021;22
17.12.2021;22
18.12.2021;22
19.12.2021;22
20.12.2021;22
21.12.2021;22
22.12.2021;22
23.12.2021;22
24.12.2021;22
25.12.2021;22
26.12.2021;22
27.12.2021;22
28.12.2021;23
29.12.2021;22
30.12.2021;23
31.12.2021;23
01.01.2022;23
02.01.2022;23
03.01.2022;22
04.01.2022;23
05.01.2022;23
06.01.2022;22
07.01.2022;22
09.01.2022;22
10.01.2022;22
11.01.2022;22
12.01.2022;23
13.01.2022;23
14.01.2022;22
15.01.2022;22
16.01.2022;22
17.01.2022;23
18.01.2022;23
19.01.2022;24
20.01.2022;24
21.01.2022;24
22.01.2022;24
23.01.2022;24
24.01.2022;23
25.01.2022;23
26.01.2022;23
27.01.2022;22
28.01.2022;22
29.01.2022;22
30.01.2022;22
31.01.2022;22
01.02.2022;22
02.02.2022;22
03.02.2022;22
04.02.2022;22
05.02.2022;22
06.02.2022;22
07.02.2022;23
08.02.2022;23
09.02.2022;23
10.02.2022;23
11.02.2022;23
12.02.2022;23
13.02.2022;23
